,No,B.Mudurluk,I.Mudurluk,I.Seflik,Il,Ilce,Day,Month,Year,Time,AnaNeden,TaliNeden,YananOrtu,YananTepe,YananAlan,Sicaklik,Dogu,Kuzey,Lon,Lat
1,1,ADANA,ADANA,ADANA,Adana,Seyhan,2,7,2013,14:05,Ihmal Dikkatsizlik,Sigara,0.2,0,0.2,31,35 14 11,37 04 06,35.23638889,37.06833333
2,2,ADANA,ADANA,ADANA,Adana,Seyhan,3,7,2013,09:05,Ihmal Dikkatsizlik,Sigara,0.1,0,0.1,26,35 14 16,37 04 00,35.23777778,37.06666667
3,3,ADANA,ADANA,ADANA,Adana,Merkez,29,7,2013,14:15,Ihmal Dikkatsizlik,Piknik Atesi,0,2,2,36,35 15 13,37 03 15,35.25361111,37.05416667
4,4,ADANA,ADANA,ADANA,Adana,Merkez,10,8,2013,16:45,Mechul,Mechul,0.1,0,0.1,25,35 15 51,37 03 34,35.26416667,37.05944444
5,5,ADANA,ADANA,ADANA,Adana,Merkez,10,8,2013,18:10,Mechul,Mechul,0.1,0,0.1,30,35 11 02,37 04 06,35.18388889,37.06833333
6,6,ADANA,ADANA,ADANA,Adana,Merkez,2,12,2013,16:00,Ihmal Dikkatsizlik,Coban Atesi,2,1,3,20,35 41 33,36 55 53,35.6925,36.93138889
7,7,ADANA,ADANA,ADANA,Adana,Merkez,23,5,2014,14:15,Ihmal Dikkatsizlik,Piknik Atesi,0.7,0,0.7,28,35 15 02,37 03 34,35.25055556,37.05944444
8,8,ADANA,ADANA,ADANA,Adana,Merkez,20,5,2015,15:30,Ihmal Dikkatsizlik,Sigara,0.1,0,0.1,30,35 14 38,37 03 07,35.24388889,37.05194444
9,9,ADANA,ADANA,ADANA,Adana,Merkez,25,5,2015,13:05,Kasit,Diger,0.1,0,0.1,26,36 04 03,36 01 59,36.0675,36.03305556
10,10,ADANA,ADANA,ADANA,Adana,Seyhan,23,7,2015,16:10,Ihmal Dikkatsizlik,Sigara,0,0.1,0.1,33,35 13 18,37 03 15,35.22166667,37.05416667
11,11,ADANA,ADANA,ADANA,Adana,Karatas,18,9,2015,23:10,Ihmal Dikkatsizlik,Sigara,0.1,0,0.1,0,35 10 56,36 38 10,35.18222222,36.63611111
12,12,ADANA,ADANA,ADANA,Adana,Merkez,19,9,2015,00:20,Ihmal Dikkatsizlik,Piknik Atesi,0.1,0,0.1,32,35 11 39,36 37 51,35.19416667,36.63083333
13,13,ADANA,ADANA,ADANA,Adana,Seyhan,28,9,2015,13:50,Ihmal Dikkatsizlik,Sigara,0.08,0,0.08,0,35 15 46,32 04 01,35.26277778,32.06694444
14,14,ADANA,ADANA,ADANA,Adana,Merkez,19,2,2016,19:00,Mechul,Mechul,0.1,0,0.1,17,35 15 15,37 04 02,35.25416667,37.06722222
15,15,ADANA,ADANA,ADANA,Adana,Yuregir,1,5,2016,10:20,Mechul,Mechul,0.13,0,0.13,0,35 21 08,37 05 18,35.35222222,37.08833333
16,16,ADANA,ADANA,ADANA,Adana,Yuregir,2,5,2016,17:45,Mechul,Mechul,0.1,0,0.1,0,35 21 15,37 05 19,35.35416667,37.08861111
17,17,ADANA,ADANA,ADANA,Adana,Yuregir,11,5,2016,09:50,Ihmal Dikkatsizlik,Sigara,0.01,0,0.01,0,35 36 14,36 50 49,35.60388889,36.84694444
18,18,ADANA,ADANA,ADANA,Adana,Merkez,3,8,2016,14:00,Mechul,Mechul,0.3,0,0.3,33,35 20 33,37 04 33,35.3425,37.07583333
19,19,ADANA,ADANA,ADANA,Adana,Merkez,26,8,2016,14:40,Mechul,Mechul,0.8,0,0.8,32,35 20 29,37 04 44,35.34138889,37.07888889
20,20,ADANA,ADANA,ADANA,Adana,Yuregir,29,8,2016,09:10,Kasit,Kundaklama,0.3,0,0.3,31,35 19 58,37 04 41,35.33277778,37.07805556
21,21,ADANA,ADANA,ADANA,Adana,Ceyhan,2,9,2016,11:00,Mechul,Mechul,2.5,0,2.5,32,35 40 58,36 55 56,35.68277778,36.93222222
22,22,ADANA,ADANA,ADANA,Adana,Ceyhan,11,9,2016,19:50,Ihmal Dikkatsizlik,Coban Atesi,1,0,1,26,35 39 02,36 55 15,35.65055556,36.92083333
23,23,ADANA,ADANA,ADANA,Adana,Seyhan,12,9,2016,14:10,Mechul,Mechul,0.2,0,0.2,26,35 15 16,37 04 06,35.25444444,37.06833333
24,24,ADANA,ADANA,ADANA,Adana,Yuregir,3,11,2016,15:50,Mechul,Mechul,0,0.5,0.5,24,35 19 57,37 05 11,35.3325,37.08638889
25,25,ADANA,ADANA,ADANA,Adana,Karatas,24,11,2016,12:50,Kasit,Diger,0.9,0,0.9,0,35 17 56,36 34 36,35.29888889,36.57666667
26,26,ADANA,ADANA,ADANA,Adana,Merkez,24,11,2016,16:00,Ihmal Dikkatsizlik,Piknik Atesi,0.5,0,0.5,20,35 20 37,37 05 21,35.34361111,37.08916667
27,27,ADANA,ADANA,ADANA,Adana,Merkez,15,2,2017,13:45,Mechul,Mechul,0.05,0,0.05,0,35 12 52,37 03 45,35.21444444,37.0625
28,28,ADANA,ADANA,ADANA,Adana,Yuregir,21,3,2017,15:00,Mechul,Mechul,0.3,0,0.3,15,35 20 34,37 04 49,35.34277778,37.08027778
29,29,ADANA,ADANA,ADANA,Adana,Karatas,29,5,2017,21:15,Mechul,Mechul,0.04,0,0.04,0,35 11 42,36 37 40,35.195,36.62777778
30,30,ADANA,ADANA,ADANA,Adana,Merkez,3,7,2017,17:35,Ihmal Dikkatsizlik,Aniz,0.17,0,0.17,35,35 11 15,37 34 44,35.1875,37.57888889
31,31,ADANA,ADANA,ADANA,Adana,Yuregir,7,7,2017,14:15,Kaza,Elektrik,0.15,0,0.15,32,35 31 59,37 05 00,35.53305556,37.08333333
32,32,ADANA,ADANA,ADANA,Adana,Merkez,30,7,2017,16:00,Mechul,Mechul,0.13,0,0.13,32,35 11 27,37 04 31,35.19083333,37.07527778
33,33,ADANA,ADANA,ADANA,Adana,Merkez,21,8,2017,18:40,Mechul,Mechul,0.01,0,0.01,27,35 13 22,37 04 03,35.22277778,37.0675
